X.OTU.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
denovo408,k__Fungi,,,,,,
denovo409,k__Fungi,,,,,,
denovo410,k__Fungi,,,,,,
denovo411,k__Fungi,,,,,,
denovo412,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo413,k__Fungi, p__Ascomycota, c__Leotiomycetes,,,,
denovo414,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo415,k__Fungi,,,,,,
denovo416,k__Fungi,,,,,,
denovo417,k__Fungi,,,,,,
denovo418,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Capnodiales,,,
denovo419,k__Fungi,,,,,,
denovo420,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Boletales, f__Paxillaceae, g__Paxillus, s__Paxillus involutus
denovo421,k__Fungi,,,,,,
denovo422,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales,,,
denovo423,k__Fungi,,,,,,
denovo424,k__Fungi,,,,,,
denovo425,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Niaceae, g__Merismodes, s__Merismodes fasciculata
